0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,target
8.96,9.6,8.96,8.76,9.41,8.81,8.76,9.12,8.96,9.41,8.76,8.96,9.6,8.96,8.67,0
9.41,9.6,8.96,9.41,9.12,8.76,8.67,9.41,8.96,8.67,9.41,9.6,8.96,9.6,9.41,0
9.6,9.12,8.96,8.45,8.67,8.67,9.41,8.67,9.12,8.96,9.12,8.76,8.45,8.81,8.67,0
8.81,8.76,8.96,8.76,8.96,8.76,8.67,8.96,9.41,8.76,8.67,9.41,8.67,9.12,8.96,0
8.76,8.96,8.76,8.96,8.67,8.81,8.76,8.96,9.12,8.76,8.96,9.6,9.41,8.81,9.41,0
8.45,8.96,8.76,8.81,8.76,9.41,8.96,8.76,8.67,8.96,8.76,9.12,8.96,9.41,9.12,0
8.96,8.67,8.76,8.96,9.12,9.6,8.96,9.41,8.67,8.76,8.96,8.45,9.41,8.76,8.45,0
9.41,8.76,8.67,8.96,9.12,9.12,8.76,8.81,9.41,9.6,8.96,9.12,9.12,8.67,8.67,0
8.96,9.6,8.96,9.41,8.67,9.41,9.12,9.12,9.12,9.12,9.12,8.76,8.81,8.76,9.41,0
9.12,8.76,8.81,8.76,9.12,8.96,9.12,8.76,8.96,9.12,8.76,8.81,9.41,9.12,8.67,0
8.81,9.41,9.12,9.12,8.76,8.81,8.45,9.41,9.12,9.12,9.12,9.6,9.41,8.67,8.96,0
8.81,8.45,9.41,9.6,9.12,8.96,8.76,8.67,8.96,9.6,9.41,8.96,8.67,8.67,8.45,0
9.6,9.41,8.45,8.67,9.41,8.96,9.12,8.67,8.45,9.41,9.6,9.12,9.41,8.81,8.67,0
8.45,8.81,9.41,9.6,8.96,9.6,9.41,8.96,8.76,8.67,9.41,8.67,8.96,9.41,8.67,0
8.96,9.12,9.12,8.67,8.76,8.96,8.76,8.96,8.76,8.45,8.67,9.41,8.45,8.67,8.96,0
9.41,8.45,8.67,8.96,9.41,9.12,8.76,8.96,9.12,8.76,8.81,8.76,9.12,9.41,8.67,0
